Data_Field,Champ_de_la_donnée,Data_Value,Valeur_de_la_donnée,Value_Description,Description_de_la_valeur
Protected Heritage Area,Aire patrimoniale protégée,L'Anse aux Meadows National Historic Site of Canada,Lieu historique national du Canada de L'Anse aux Meadows,L'Anse aux Meadows National Historic Site of Canada,Lieu historique national du Canada de L'Anse aux Meadows
Protected Heritage Area,Aire patrimoniale protégée,Laurier House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Laurier,Laurier House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Laurier
Protected Heritage Area,Aire patrimoniale protégée,Lévis Forts National Historic Site of Canada,Lieu historique national du Canada des Forts-de-Lévis,Lévis Forts National Historic Site of Canada,Lieu historique national du Canada des Forts-de-Lévis
Protected Heritage Area,Aire patrimoniale protégée,Linear Mounds National Historic Site of Canada,Lieu historique national du Canada des Monticules-Linéaires,Linear Mounds National Historic Site of Canada,Lieu historique national du Canada des Monticules-Linéaires
Protected Heritage Area,Aire patrimoniale protégée,Logan Park,Parc Logan,Logan Park,Parc Logan
Protected Heritage Area,Aire patrimoniale protégée,Louis S. St. Laurent National Historic Site of Canada,Lieu historique national du Canada Louis-S.-St-Laurent,Louis S. St. Laurent National Historic Site of Canada,Lieu historique national du Canada Louis-S.-St-Laurent
Protected Heritage Area,Aire patrimoniale protégée,Louis-Joseph Papineau National Historic Site of Canada,Lieu historique national du Canada Louis-Joseph-Papineau,Louis-Joseph Papineau National Historic Site of Canada,Lieu historique national du Canada Louis-Joseph-Papineau
Protected Heritage Area,Aire patrimoniale protégée,Lower Fort Garry National Historic Site of Canada,Lieu historique national du Canada de Lower Fort Garry,Lower Fort Garry National Historic Site of Canada,Lieu historique national du Canada de Lower Fort Garry
Protected Heritage Area,Aire patrimoniale protégée,Maillou House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Maillou,Maillou House National Historic Site of Canada,Lieu historique national du Canada de la Maison-Maillou
Protected Heritage Area,Aire patrimoniale protégée,Manoir Papineau National Historic Site of Canada,Lieu historique national du Canada du Manoir-Papineau,Manoir Papineau National Historic Site of Canada,Lieu historique national du Canada du Manoir-Papineau
Protected Heritage Area,Aire patrimoniale protégée,Marconi National Historic Site of Canada,Lieu historique national du Canada Marconi,Marconi National Historic Site of Canada,Lieu historique national du Canada Marconi
Protected Heritage Area,Aire patrimoniale protégée,Melanson Settlement National Historic Site of Canada,Lieu historique national du Canada de l'Établissement Melanson,Melanson Settlement National Historic Site of Canada,Lieu historique national du Canada de l'Établissement Melanson
Protected Heritage Area,Aire patrimoniale protégée,Merrickville Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-Merrickville,Merrickville Blockhouse National Historic Site of Canada,Lieu historique national du Canada du Blockhaus-de-Merrickville
Protected Heritage Area,Aire patrimoniale protégée,Mingan Archipelago National Park Reserve of Canada,Réserve de parc national du Canada de l'Archipel-de-Mingan,Mingan Archipelago National Park Reserve of Canada,Réserve de parc national du Canada de l'Archipel-de-Mingan
Protected Heritage Area,Aire patrimoniale protégée,Mississauga Point Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Mississauga,Mississauga Point Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Mississauga
Protected Heritage Area,Aire patrimoniale protégée,Mnjikaning Fish Weirs National Historic Site of Canada,Lieu historique national du Canada des Barrages-de-Pêche-Mnjikaning,Mnjikaning Fish Weirs National Historic Site of Canada,Lieu historique national du Canada des Barrages-de-Pêche-Mnjikaning
Protected Heritage Area,Aire patrimoniale protégée,Montmorency Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Montmorency,Montmorency Park National Historic Site of Canada,Lieu historique national du Canada du Parc-Montmorency
Protected Heritage Area,Aire patrimoniale protégée,Monument Lefebvre National Historic Site of Canada,Lieu historique national du Canada du Monument-Lefebvre,Monument Lefebvre National Historic Site of Canada,Lieu historique national du Canada du Monument-Lefebvre
Protected Heritage Area,Aire patrimoniale protégée,Motherwell Homestead National Historic Site of Canada,Lieu historique national du Canada du Homestead-Motherwell,Motherwell Homestead National Historic Site of Canada,Lieu historique national du Canada du Homestead-Motherwell
Protected Heritage Area,Aire patrimoniale protégée,Mount Revelstoke National Park of Canada,Parc national du Canada du Mont-Revelstoke,Mount Revelstoke National Park of Canada,Parc national du Canada du Mont-Revelstoke
Protected Heritage Area,Aire patrimoniale protégée,Murney Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Murney,Murney Tower National Historic Site of Canada,Lieu historique national du Canada de la Tour-Murney
Protected Heritage Area,Aire patrimoniale protégée,Nááts'ihch'oh National Park Reserve,Réserve de parc national Nááts'ihch'oh,Nááts'ihch'oh National Park Reserve,Réserve de parc national Nááts'ihch'oh
Protected Heritage Area,Aire patrimoniale protégée,Nahanni National Park Reserve of Canada,Réserve de parc national du Canada Nahanni,Nahanni National Park Reserve of Canada,Réserve de parc national du Canada Nahanni
Protected Heritage Area,Aire patrimoniale protégée,Nan Sdins National Historic Site of Canada,Lieu historique national du Canada de Nan Sdins,Nan Sdins National Historic Site of Canada,Lieu historique national du Canada de Nan Sdins
Protected Heritage Area,Aire patrimoniale protégée,Navy Island National Historic Site of Canada,Lieu historique national du Canada de l'Île-Navy,Navy Island National Historic Site of Canada,Lieu historique national du Canada de l'Île-Navy
Protected Heritage Area,Aire patrimoniale protégée,Niagara National Historic Sites,Lieux historiques nationaux du Niagara,Niagara National Historic Sites,Lieux historiques nationaux du Niagara
Protected Heritage Area,Aire patrimoniale protégée,Northwest Mounted Police Married Quarters National Historic Site of Canada,Lieu historique national du Canada des Logements des Agents Mariés de la Police montée du Nord-ouest,Northwest Mounted Police Married Quarters National Historic Site of Canada,Lieu historique national du Canada des Logements des Agents Mariés de la Police montée du Nord-ouest
Protected Heritage Area,Aire patrimoniale protégée,Old Port of Québec Interpretation Centre,Centre d'interprétation du Vieux-Port-du-Québec,Old Port of Québec Interpretation Centre,Centre d'interprétation du Vieux-Port-du-Québec
Protected Heritage Area,Aire patrimoniale protégée,Pacific Rim National Park Reserve of Canada,Réserve de parc national du Canada Pacific Rim,Pacific Rim National Park Reserve of Canada,Réserve de parc national du Canada Pacific Rim
Protected Heritage Area,Aire patrimoniale protégée,Peterborough Lift Lock National Historic Site of Canada,Lieu historique national du Canada de l'Écluse-Ascenseur-de-Peterborough,Peterborough Lift Lock National Historic Site of Canada,Lieu historique national du Canada de l'Écluse-Ascenseur-de-Peterborough
Protected Heritage Area,Aire patrimoniale protégée,Pingo Canadian Landmark,Site canadien des Pingos,Pingo Canadian Landmark,Site canadien des Pingos
Protected Heritage Area,Aire patrimoniale protégée,Point Clark Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Clark,Point Clark Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-la-Pointe-Clark
Protected Heritage Area,Aire patrimoniale protégée,Point Pelee National Park of Canada,Parc national du Canada de la Point-Pelée,Point Pelee National Park of Canada,Parc national du Canada de la Point-Pelée
Protected Heritage Area,Aire patrimoniale protégée,Pointe-au-Père Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-Pointe-au-Père,Pointe-au-Père Lighthouse National Historic Site of Canada,Lieu historique national du Canada du Phare-de-Pointe-au-Père
Protected Heritage Area,Aire patrimoniale protégée,Port au Choix National Historic Site of Canada,Lieu historique national du Canada de Port au Choix,Port au Choix National Historic Site of Canada,Lieu historique national du Canada de Port au Choix
Protected Heritage Area,Aire patrimoniale protégée,Port-la-Joye-Fort Amherst National Historic Site of Canada,Lieu historique national du Canada de Port-la-Joye-Fort-Amherst,Port-la-Joye-Fort Amherst National Historic Site of Canada,Lieu historique national du Canada de Port-la-Joye-Fort-Amherst
Protected Heritage Area,Aire patrimoniale protégée,Port-Royal National Historic Site of Canada,Lieu historique national du Canada de Port-Royal,Port-Royal National Historic Site of Canada,Lieu historique national du Canada de Port-Royal
Protected Heritage Area,Aire patrimoniale protégée,Prince Albert National Park of Canada,Parc national du Canada de Prince Albert,Prince Albert National Park of Canada,Parc national du Canada de Prince Albert
Protected Heritage Area,Aire patrimoniale protégée,Prince Edward Island National Park of Canada,Parc national du Canada de l'Île-du-Prince-Édouard,Prince Edward Island National Park of Canada,Parc national du Canada de l'Île-du-Prince-Édouard
